Nombre,FormatoVideo,CodCadenaTv,CasId,PuntoReproduccion
TV Canaria,HD,CANAR,5089,http://tdttvcanarias-dash-movistarplus.emisiondof6.com/manifest.mpd
Castilla la Mancha TV,HD,CASMAN,5265,http://tdtcastmancha-dash-movistarplus.emisiondof6.com/manifest.mpd
La 7,HD,CYLTV,5266,http://tdtcastleon-dash-movistarplus.emisiondof6.com/manifest.mpd
Canal Extremadura,HD,EXTRE,5357,http://tdtextremad-dash-movistarplus.emisiondof6.com/manifest.mpd
IB3,HD,IB3,5091,http://tdt3ibiza-dash-movistarplus.emisiondof6.com/manifest.mpd
À Punt,HD,APUNT,5088,http://tdtapuntvalencia-dash-movistarplus.emisiondof6.com/manifest.mpd
7 TV Región Murcia,HD,7TVMUR,5356,http://tdtmurcia-dash-movistarplus.emisiondof6.com/manifest.mpd
Pruebas 8,SD,PRUE8,5288,http://01pruebasim-dash-movistarplus.emisiondof6.com/manifest.mpd
Pruebas 23,SD,PRUE23,5289,http://02pruebasim-dash-movistarplus.emisiondof6.com/manifest.mpd
Pruebas 24,SD,PRUE24,5290,http://03pruebasim-dash-movistarplus.emisiondof6.com/manifest.mpd
Pruebas 25,SD,PRUE25,5291,http://04pruebasim-dash-movistarplus.emisiondof6.com/manifest.mpd
Pruebas 26,SD,PRUE26,5293,http://05pruebasim-dash-movistarplus.emisiondof6.com/manifest.mpd
